City_ID,City,Country,Max Temp,Cloudiness,Lat,Lng,Hotel Name
2,Vaini,TO,73.56,40,-21.2,-175.2,Keleti Beach Resort
3,Butaritari,KI,80.85,66,3.0707,172.7902,Isles Sunset Lodge
5,Barcelos,PT,65.84,50,41.5388,-8.6151,Hotel Restaurante Bagoeira
6,Arraial Do Cabo,BR,84.16,20,-22.9661,-42.0278,Pousada Porto Praia
7,Chuy,UY,71.83,100,-33.6971,-53.4616,Nuevo Hotel Plaza
8,Mae Hong Son,TH,81.05,20,19.3003,97.9685,Baiyoke Chalet Hotel
10,Kapaa,US,71.92,100,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Rikitea,PF,78.31,98,-23.1203,-134.9692,People ThankYou
14,Mogadishu,SO,82.58,62,2.0371,45.3438,Hotel Juba
18,Kavaratti,IN,85.78,44,10.5669,72.642,Hotels in Lakshadweep Islands
21,Mount Isa,AU,69.57,100,-20.7333,139.5,ibis Styles Mt Isa Verona
23,Conde,BR,85.46,40,-7.2597,-34.9075,Pousada Beija Flor
24,Kollam,IN,83.12,95,8.8833,76.6,The Raviz Ashtamudi
25,Hasaki,JP,75.6,100,35.7333,140.8333,Inubosaki Kanko Hotel
26,Santarem,BR,84.33,40,-2.4431,-54.7083,Hotel Imperador
28,Sao Jose Da Coroa Grande,BR,83.05,39,-8.8978,-35.1478,Crôa Mares Hotel
29,Cascais,PT,67.82,40,38.6979,-9.4215,Hotel Vila Galé Cascais
31,Yarada,IN,86.32,40,17.65,83.2667,Yarada Jungle Beach Resorts
34,Hithadhoo,MV,85.39,96,-0.6,73.0833,Scoop Guest House
35,Teguise,ES,70.02,75,29.0605,-13.564,B&B La Casona de Nazaret
43,Saint-Philippe,RE,74.21,29,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
44,Lompoc,US,65.84,20,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
46,Myitkyina,MM,76.23,0,25.3833,97.4,Shwe Phyu Hotel
47,Banda Aceh,ID,80.02,98,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
50,Hirara,JP,78.58,52,24.8,125.2833,Hotel Atoll Emerald Miyakojima
53,Avarua,CK,77.05,75,-21.2078,-159.775,Paradise Inn
55,Georgetown,MY,84.13,40,5.4112,100.3354,Cititel Penang
62,Krasnyy Yar,RU,66.13,26,46.5331,48.3456,Cottege near Ufa
63,Victoria,HK,82.45,48,22.2855,114.1577,Mini Hotel Central
65,Ahuimanu,US,71.85,100,21.4447,-157.8378,Paradise Bay Resort
66,Porbandar,IN,82.81,3,21.6422,69.6093,Lords Inn Porbandar
68,Atuona,PF,79.25,30,-9.8,-139.0333,Villa Enata
69,Nhulunbuy,AU,75.81,49,-12.2333,136.7667,East Arnhem Real Estate
74,East London,ZA,65.41,21,-33.0153,27.9116,Tu Casa
76,Jaguey Grande,CU,91.18,1,22.5269,-81.1286,Barberia hendrix
77,Maumere,ID,77.88,98,-8.6199,122.2111,Sylvia Hotel
79,Port-Gentil,GA,85.96,40,-0.7193,8.7815,Fengshui Residence
85,Saurimo,AO,70.83,92,-9.6608,20.3916,Hotel Kawissa Saurimo
86,Puerto Ayora,EC,78.76,7,-0.7393,-90.3518,Finch Bay Galapagos Hotel
87,Atar,MR,88.09,0,20.5169,-13.0499,Oumou Elghoura
90,Rancho Palos Verdes,US,72.61,75,33.7445,-118.387,Terranea Resort
92,Port Blair,IN,82.44,40,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
93,Bambous Virieux,MU,77.25,40,-20.3428,57.7575,Casa Tia Villa
94,Ponta Do Sol,PT,68.72,48,32.6667,-17.1,Hotel do Campo
95,Abonnema,NG,84.9,94,4.7084,6.7931,Corper's Lodge Obonoma
97,Castro,BR,79.32,88,-24.7911,-50.0119,CHACARA BAILLY
98,Saquarema,BR,84.34,1,-22.92,-42.5103,Hotel Fazenda Sol e Lua
