City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Qaanaaq,77.484,-69.3632,17.01,72,22,4.83,GL,2022-04-26 16:37:16
1,Nalut,30.3333,10.85,87.04,11,11,20.36,LY,2022-04-26 16:37:16
2,Vaini,-21.2,-175.2,73.56,78,40,10.36,TO,2022-04-26 16:37:16
3,Butaritari,3.0707,172.7902,80.85,83,66,18.14,KI,2022-04-26 16:37:17
4,Ushuaia,-54.8,-68.3,40.66,75,75,3.44,AR,2022-04-26 16:37:17
5,Barcelos,41.5388,-8.6151,65.84,71,50,7.72,PT,2022-04-26 16:34:18
6,Arraial Do Cabo,-22.9661,-42.0278,84.16,69,20,14.97,BR,2022-04-26 16:37:17
7,Chuy,-33.6971,-53.4616,71.83,81,100,11.25,UY,2022-04-26 16:37:17
8,Mae Hong Son,19.3003,97.9685,81.05,53,20,1.36,TH,2022-04-26 16:37:18
9,Port Alfred,-33.5906,26.891,61.18,85,11,4.0,ZA,2022-04-26 16:37:18
10,Kapaa,22.0752,-159.319,71.92,96,100,18.41,US,2022-04-26 16:37:18
11,Northam,51.0333,-4.2167,53.37,73,35,10.2,GB,2022-04-26 16:37:19
12,Poole,50.7167,-2.0,60.28,64,0,10.36,GB,2022-04-26 16:35:07
13,Rikitea,-23.1203,-134.9692,78.31,73,98,20.24,PF,2022-04-26 16:37:19
14,Mogadishu,2.0371,45.3438,82.58,71,62,1.54,SO,2022-04-26 16:33:30
15,Busselton,-33.65,115.3333,56.5,90,100,3.29,AU,2022-04-26 16:37:19
16,Hobart,-42.8794,147.3294,51.26,93,98,9.22,AU,2022-04-26 16:37:20
17,Jamestown,42.097,-79.2353,48.02,58,100,9.22,US,2022-04-26 16:33:59
18,Kavaratti,10.5669,72.642,85.78,68,44,6.49,IN,2022-04-26 16:37:20
19,New Norfolk,-42.7826,147.0587,50.9,87,100,1.95,AU,2022-04-26 16:37:20
20,Ahipara,-35.1667,173.1667,60.89,75,83,6.91,NZ,2022-04-26 16:37:21
21,Mount Isa,-20.7333,139.5,69.57,100,100,4.61,AU,2022-04-26 16:37:21
22,Byron Bay,-28.65,153.6167,62.49,81,100,3.98,AU,2022-04-26 16:37:21
